"group"	"section"	"x_value"	"section_1"
"Coxevac Unchallenge"	1	1	1
"Coxevac Unchallenge"	1	2	1
"Coxevac Unchallenge"	1	3	1
"Coxevac Unchallenge"	1	4	1
"Coxevac Unchallenge"	1	5	1
"Coxevac Unchallenge"	2	1	2
"Coxevac Unchallenge"	2	2	2
"Coxevac Unchallenge"	2	3	2
"Coxevac Unchallenge"	2	4	2
"Coxevac Unchallenge"	2	5	2
"Coxevac Unchallenge"	3	1	3
"Coxevac Unchallenge"	3	2	3
"Coxevac Unchallenge"	3	3	3
"Coxevac Unchallenge"	3	4	3
"Coxevac Unchallenge"	3	5	3
"Coxevac Unchallenge"	4	1	4
"Coxevac Unchallenge"	4	2	4
"Coxevac Unchallenge"	4	3	4
"Coxevac Unchallenge"	4	4	4
"Coxevac Unchallenge"	4	5	4
"Coxevac Unchallenge"	5	1	5
"Coxevac Unchallenge"	5	2	5
"Coxevac Unchallenge"	5	3	5
"Coxevac Unchallenge"	5	4	5
"Coxevac Unchallenge"	5	5	5
"Coxevac Unchallenge"	6	1	6
"Coxevac Unchallenge"	6	2	6
"Coxevac Unchallenge"	6	3	6
"Coxevac Unchallenge"	6	4	6
"Coxevac Unchallenge"	6	5	6
"Coxevac Unchallenge"	7	1	7
"Coxevac Unchallenge"	7	2	7
"Coxevac Unchallenge"	7	3	7
"Coxevac Unchallenge"	7	4	7
"Coxevac Unchallenge"	7	5	7
"Coxevac Unchallenge"	8	1	8
"Coxevac Unchallenge"	8	2	8
"Coxevac Unchallenge"	8	3	8
"Coxevac Unchallenge"	8	4	8
"Coxevac Unchallenge"	8	5	8
"Naive Unchallenge"	9	1	1
"Naive Unchallenge"	9	2	1
"Naive Unchallenge"	9	3	1
"Naive Unchallenge"	9	4	1
"Naive Unchallenge"	9	5	1
"Naive Unchallenge"	10	1	2
"Naive Unchallenge"	10	2	2
"Naive Unchallenge"	10	3	2
"Naive Unchallenge"	10	4	2
"Naive Unchallenge"	10	5	2
"Naive Unchallenge"	11	1	3
"Naive Unchallenge"	11	2	3
"Naive Unchallenge"	11	3	3
"Naive Unchallenge"	11	4	3
"Naive Unchallenge"	11	5	3
"Naive Unchallenge"	12	1	4
"Naive Unchallenge"	12	2	4
"Naive Unchallenge"	12	3	4
"Naive Unchallenge"	12	4	4
"Naive Unchallenge"	12	5	4
"Naive Unchallenge"	13	1	5
"Naive Unchallenge"	13	2	5
"Naive Unchallenge"	13	3	5
"Naive Unchallenge"	13	4	5
